beds,bath,type,place,city,area_sqrt,price_bdt,price_per_sqft
3,4,Apartment,Bashundhara R-A,Dhaka,2200.0,50000.0,22.727272727272727
3,4,Apartment,Khulshi,Chittagong,1400.0,30000.0,21.428571428571427
3,4,Apartment,Bashundhara R-A,Dhaka,1950.0,30000.0,15.384615384615385
3,3,Apartment,Uttara,Dhaka,2000.0,35000.0,17.5
3,4,Apartment,Bashundhara R-A,Dhaka,1650.0,25000.0,15.151515151515152
5,5,Apartment,Gulshan,Dhaka,3400.0,110000.00000000001,32.352941176470594
3,3,Apartment,Uttara,Dhaka,1600.0,35000.0,21.875
3,3,Apartment,Bashundhara R-A,Dhaka,1250.0,23000.0,18.4
3,4,Apartment,Uttara,Dhaka,2150.0,40000.0,18.6046511627907
3,3,Apartment,Bashundhara R-A,Dhaka,1250.0,23000.0,18.4
3,3,Apartment,Bashundhara R-A,Dhaka,1250.0,23000.0,18.4
3,3,Apartment,Bayazid,Chittagong,1580.0,20000.0,12.658227848101266
3,3,Apartment,Gulshan,Dhaka,3000.0,120000.0,40.0
3,3,Apartment,Bashundhara R-A,Dhaka,1250.0,21000.0,16.8
3,4,Apartment,Uttara,Dhaka,1800.0,60000.0,33.333333333333336
3,3,Apartment,Bashundhara R-A,Dhaka,1250.0,21000.0,16.8
3,3,Apartment,Bashundhara R-A,Dhaka,2000.0,40000.0,20.0
3,4,Apartment,Bashundhara R-A,Dhaka,1750.0,30000.0,17.142857142857142
3,3,Apartment,Bashundhara R-A,Dhaka,1250.0,23000.0,18.4
3,3,Apartment,Bashundhara R-A,Dhaka,1250.0,23000.0,18.4
3,3,Apartment,Khilgaon,Dhaka,1310.0,28000.0,21.374045801526716
3,3,Apartment,Bashundhara R-A,Dhaka,1250.0,21000.0,16.8
3,4,Apartment,Uttara,Dhaka,2200.0,60000.0,27.272727272727273
3,4,Apartment,Banani,Dhaka,1700.0,75000.0,44.11764705882353
4,4,Apartment,Dhanmondi,Dhaka,2750.0,120000.0,43.63636363636363
3,2,Apartment,Dhanmondi,Dhaka,1400.0,28000.0,20.0
4,4,Apartment,Baridhara,Dhaka,2500.0,55000.0,22.0
1,1,Apartment,Mirpur,Dhaka,550.0,12000.0,21.818181818181817
3,2,Apartment,Rampura,Dhaka,1050.0,21000.0,20.0
3,3,Apartment,Bashundhara R-A,Dhaka,1250.0,23000.0,18.4
3,3,Apartment,Bashundhara R-A,Dhaka,1250.0,21000.0,16.8
3,3,Apartment,Bashundhara R-A,Dhaka,1250.0,20000.0,16.0
1,1,Apartment,Khilkhet,Dhaka,400.0,10000.0,25.0
3,3,Apartment,Mohammadpur,Dhaka,1250.0,18000.0,14.4
1,1,Apartment,Mohammadpur,Dhaka,500.0,10000.0,20.0
4,3,Apartment,Mirpur,Dhaka,1700.0,30000.0,17.647058823529413
3,3,Apartment,Khulshi,Chittagong,1600.0,70000.0,43.75
4,4,Apartment,Rampura,Dhaka,2300.0,43000.0,18.695652173913043
3,3,Apartment,Bashundhara R-A,Dhaka,1250.0,21000.0,16.8
5,6,Duplex,Uttara,Dhaka,4350.0,110000.00000000001,25.287356321839084
4,5,Apartment,Bashundhara R-A,Dhaka,3200.0,100000.0,31.25
4,5,Apartment,Khulshi,Chittagong,2000.0,80000.0,40.0
3,4,Apartment,Kalabagan,Dhaka,2000.0,45000.0,22.5
3,3,Apartment,Mohammadpur,Dhaka,1200.0,25000.0,20.833333333333332
4,4,Apartment,Bashundhara R-A,Dhaka,2300.0,55000.0,23.91304347826087
4,3,Apartment,other,Dhaka,1800.0,40000.0,22.22222222222222
2,2,Apartment,Mohakhali DOHS,Dhaka,800.0,35000.0,43.75
3,4,Apartment,Uttara,Dhaka,2146.0,55000.0,25.629077353215283
3,3,Apartment,10 No. North Kattali Ward,Chittagong,1315.0,26000.0,19.771863117870723
3,3,Apartment,Uttara,Dhaka,1500.0,35000.0,23.333333333333332
2,2,Apartment,Mohammadpur,Dhaka,700.0,16000.0,22.857142857142858
2,1,Apartment,Mohammadpur,Dhaka,600.0,14500.0,24.166666666666668
2,2,Apartment,Turag,Dhaka,960.0,14000.0,14.583333333333334
3,4,Apartment,Khulshi,Chittagong,2200.0,35000.0,15.909090909090908
3,3,Apartment,Khulshi,Chittagong,1500.0,25000.0,16.666666666666668
3,3,Apartment,Mohammadpur,Dhaka,1400.0,16000.0,11.428571428571429
3,4,Apartment,Khulshi,Chittagong,1600.0,30000.0,18.75
2,2,Apartment,Mirpur,Dhaka,700.0,15000.0,21.428571428571427
3,3,Apartment,Gulshan,Dhaka,2250.0,90000.0,40.0
3,3,Apartment,10 No. North Kattali Ward,Chittagong,1517.0,15000.0,9.88793671720501
3,3,Apartment,Gulshan,Dhaka,2300.0,90000.0,39.130434782608695
3,3,Apartment,Mohammadpur,Dhaka,1250.0,15000.0,12.0
3,4,Apartment,Uttara,Dhaka,2000.0,35000.0,17.5
3,3,Apartment,Khulshi,Chittagong,1200.0,25000.0,20.833333333333332
3,4,Apartment,Mohammadpur,Dhaka,1407.0,27000.0,19.189765458422176
3,4,Apartment,Dhanmondi,Dhaka,1850.0,60000.0,32.432432432432435
3,4,Apartment,Dhanmondi,Dhaka,1850.0,60000.0,32.432432432432435
4,5,Apartment,Badda,Dhaka,2500.0,70000.0,28.0
5,3,Apartment,Uttara,Dhaka,3000.0,120000.0,40.0
3,2,Apartment,Mohammadpur,Dhaka,1150.0,22000.0,19.130434782608695
2,2,Apartment,Mohammadpur,Dhaka,900.0,15500.0,17.22222222222222
3,4,Apartment,Gulshan,Dhaka,2200.0,95000.0,43.18181818181818
3,4,Apartment,Uttara,Dhaka,1975.0,42000.0,21.265822784810126
3,3,Apartment,Mirpur,Dhaka,1300.0,25000.0,19.23076923076923
3,4,Apartment,Shantinagar,Dhaka,1500.0,40000.0,26.666666666666668
3,2,Apartment,Mirpur,Dhaka,960.0,13000.0,13.541666666666666
3,2,Apartment,Mirpur,Dhaka,960.0,13000.0,13.541666666666666
4,3,Apartment,Motijheel,Dhaka,1400.0,40000.0,28.571428571428573
3,4,Apartment,Khulshi,Chittagong,1450.0,35000.0,24.137931034482758
